Glioma	Barrett Esophagus	Atherosclerosis	Neoplasms	Periodontitis	Prostatic Neoplasms	Fragile X Syndrome	Alzheimer Disease	Myositis, Inclusion Body	Melanoma	Breast Neoplasms	Huntington Disease	Testicular Neoplasms	Endometrial Neoplasms	Esophageal Squamous Cell Carcinoma	Aortic Aneurysm, Abdominal	Aortic Rupture	Neoplasms, Basal Cell	Myocardial Ischemia	Diabetes Mellitus	Endometriosis	Intracranial Aneurysm	Frailty	Glaucoma	Leukemia	Myocardial Infarction	Nasopharyngeal Carcinoma	Neurofibromatoses	Peripheral Arterial Disease	Neurofibroma, Plexiform	Stroke	Diabetes Mellitus, Type 2	Colorectal Neoplasms	Bone Diseases	Muscular Dystrophy, Facioscapulohumeral	Leukemia, Lymphocytic, Chronic, B-Cell	Leukemia, Lymphoid	Lymphoma	Ovarian Neoplasms	Carcinoma, Embryonal	Kidney Neoplasms	Adrenocortical Carcinoma	Beckwith-Wiedemann Syndrome	Hydatidiform Mole	Uterine Cervical Neoplasms	Choriocarcinoma	Colonic Neoplasms	Congenital Hyperinsulinism	Glioblastoma	Hyperhomocysteinemia	Infertility	Liver Neoplasms	Neuroectodermal Tumors, Primitive	Meningioma	Neural Tube Defects	Neuroblastoma	Obesity	Pheochromocytoma	Pituitary Neoplasms	Prader-Willi Syndrome	Pre-Eclampsia	Silver-Russell Syndrome	Adenocarcinoma	Pancreatic Neoplasms	Arthritis, Rheumatoid	Multiple Sclerosis	Diabetes Mellitus, Type 1	Muscular Dystrophy, Duchenne	Narcolepsy	Parkinson Disease	Neoplasms, Bone Tissue	Gallbladder Neoplasms	Leukemia, Myeloid, Acute	Leukemia, Myelogenous, Chronic, BCR-ABL Positive	Myelodysplastic Syndromes	Myopia	Amyotrophic Lateral Sclerosis	Frontotemporal Lobar Degeneration	Psoriasis	Burkitt Lymphoma	Cleft Lip	Hodgkin Disease	Plasmacytoma	Rhabdomyosarcoma	Dyskeratosis Congenita	Mucocutaneous Lymph Node Syndrome	Angelman Syndrome	Pancreaticobiliary Maljunction	Neoplasms, Squamous Cell	Klinefelter Syndrome	Carcinoma, Renal Cell	Polycystic Ovary Syndrome	Multiple Myeloma	Esophageal Neoplasms	Kidney Failure, Chronic	Colitis, Ulcerative	Hemangioma	Gastrointestinal Stromal Tumors	Pneumoconiosis	Asthma	Lupus Erythematosus, Systemic	Hypertension	Pulmonary Arterial Hypertension	Hepatoblastoma	Leukemia, Promyelocytic, Acute	Vitreoretinopathy, Proliferative	Diabetic Retinopathy	Retinoblastoma	Osteoarthritis	Cardiomyopathy, Dilated	Metabolic Syndrome	Nephrolithiasis	Asthenozoospermia	Intervertebral Disc Degeneration	Cholangiocarcinoma	Head and Neck Neoplasms	Anemia, Aplastic	Exfoliation Syndrome	Congenital Microtia	Astrocytoma	Hirschsprung Disease	Liver Cirrhosis	Neuroectodermal Tumors, Primitive, Peripheral	Acute Kidney Injury	Leukemia, Myeloid	Primary Myelofibrosis	Lymphoma, Mantle-Cell	Lymphoma, B-Cell
Huntington Disease	0	0	0	0	0	0	0.190839694656489	0.364016736401674	0.0418604651162791	0	0	1	0	0	0	0	0	0	0	0	0	0.113821138211382	0	0	0	0	0	0.303333333333333	0	0.0382022471910112	0.15695067264574	0	0	0	0.141592920353982	0	0	0	0	0	0	0	0.103004291845494	0	0	0	0	0.0436363636363636	0	0.0650994575045208	0	0	0	0.0348837209302326	0.105990783410138	0	0	0	0.111209179170344	0.112627986348123	0	0.0866425992779783	0	0	0	0.0493273542600897	0	0.132231404958678	0.0377358490566038	0.354330708661417	0	0	0	0	0	0	0.151291512915129	0.343873517786561	0	0	0.0251046025104603	0	0	0	0.0821917808219178	0	0.264367816091954	0.0323886639676113	0	0.0566037735849057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0524017467248908	0	0.032258064516129	0	0	0	0	0	0	0
Testicular Neoplasms	0.0410958904109589	0.0630630630630631	0	0.223529411764706	0	0.421052631578947	0	0	0	0.0472103004291846	0.189189189189189	0	1	0.152777777777778	0.101123595505618	0	0	0.0505050505050505	0	0.130841121495327	0	0	0	0	0.0721649484536082	0	0.0868686868686869	0.0519031141868512	0	0.033096926713948	0	0.0961538461538462	0.0850202429149798	0	0	0.033175355450237	0.0420168067226891	0.0598290598290598	0.422939068100358	0.0505050505050505	0.205128205128205	0.224489795918367	0	0.0428571428571429	0.142241379310345	0.0522088353413655	0.0900692840646651	0	0.0327272727272727	0	0.162162162162162	0.135135135135135	0.0410958904109589	0.101214574898785	0	0.0327272727272727	0	0.0319410319410319	0.303948576675849	0	0	0	0.04	0.333333333333333	0	0	0.0862068965517241	0	0	0	0.04	0.105263157894737	0.04	0.0347826086956522	0	0	0	0	0	0.0278884462151394	0	0.0458715596330275	0.0442477876106195	0.0334928229665072	0	0	0	0	0.0505050505050505	0.173228346456693	0.157258064516129	0.164009111617312	0.0342465753424658	0.140625	0.0246913580246914	0	0.0505050505050505	0.0338983050847458	0	0	0	0	0	0.0505050505050505	0.0348258706467662	0	0.0593220338983051	0.088339222614841	0	0	0	0.0363636363636364	0.09	0	0.0348258706467662	0.216494845360825	0	0	0	0.0356294536817102	0	0	0.0356294536817102	0.0295566502463054	0.0505050505050505	0	0.0380952380952381	0.0380952380952381
Endometrial Neoplasms	0.0251572327044025	0.0555555555555556	0	0.3	0	0.125	0	0	0	0.0346820809248555	0.166666666666667	0	0.152777777777778	1	0.0579710144927536	0	0	0.036231884057971	0	0	0.253623188405797	0	0	0	0.0671641791044776	0	0.0346666666666667	0.0436681222707424	0	0.0132013201320132	0	0	0.0320855614973262	0	0	0.0132450331125828	0.0280898876404494	0.0517241379310345	0.324200913242009	0.036231884057971	0.172413793103448	0.0324324324324324	0	0.04	0.534883720930233	0.0582010582010582	0.0287539936102236	0	0.011965811965812	0	0.216049382716049	0.0925925925925926	0.0251572327044025	0.053475935828877	0	0.011965811965812	0	0.0104529616724739	0.0742049469964664	0	0.036231884057971	0	0.0214285714285714	0.0806451612903226	0	0	0	0	0	0	0.0214285714285714	0.0535714285714286	0.0214285714285714	0.0176470588235294	0	0	0	0	0	0.0104712041884817	0	0.0316455696202532	0.0301204819277108	0.0134228187919463	0	0	0	0	0.036231884057971	0.0309278350515464	0.106382978723404	0.0971786833855799	0.021551724137931	0.107142857142857	0.0315789473684211	0	0.036231884057971	0.0170454545454545	0	0	0	0	0	0.036231884057971	0.0141843971631206	0	0	0.0448430493273543	0	0	0	0.05625	0	0	0.0141843971631206	0.201492537313433	0	0	0	0.0166112956810631	0	0	0.0166112956810631	0.041958041958042	0.036231884057971	0	0.02	0.02
Esophageal Squamous Cell Carcinoma	0.123809523809524	0.248826291079812	0	0.217391304347826	0	0.0684931506849315	0	0	0	0.0892857142857143	0.154929577464789	0	0.101123595505618	0.0579710144927536	1	0	0	0.195767195767196	0	0	0	0	0	0	0.156756756756757	0	0.270440251572327	0.0571428571428571	0	0.0395061728395062	0	0	0.201680672268908	0	0	0.0396039603960396	0.074235807860262	0.128888888888889	0.0777777777777778	0.0899470899470899	0.0666666666666667	0.169491525423729	0	0.0497512437810945	0.0538116591928251	0.175	0.180722891566265	0.0392156862745098	0.0671736375158428	0	0	0.23943661971831	0.123809523809524	0.109243697478992	0	0.0671736375158428	0	0.0334190231362468	0.0826210826210826	0	0	0	0.246073298429319	0.215189873417722	0	0	0	0	0	0	0.0575916230366492	0.150684931506849	0.0575916230366492	0.0497737556561086	0	0	0	0	0	0.0330578512396694	0	0.0813397129186603	0.0783410138248848	0.04	0	0	0	0.052863436123348	0.407407407407407	0	0.167364016736402	0.0332541567695962	0.0600706713780919	0.716599190283401	0	0.0652173913043478	0.0899470899470899	0.286343612334802	0	0	0	0	0	0.0899470899470899	0.0416666666666667	0	0	0.131386861313869	0	0	0	0	0	0	0.166666666666667	0.394594594594595	0	0	0	0.086848635235732	0.0745614035087719	0.0469483568075117	0.086848635235732	0	0.0899470899470899	0	0.054726368159204	0.054726368159204
Aortic Aneurysm, Abdominal	0	0	0.0909090909090909	0	0	0	0	0	0	0	0	0	0	0	0	1	0.422222222222222	0	0.211267605633803	0	0	0.287425149700599	0	0	0	0.102272727272727	0	0	0.130434782608696	0	0.125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0989010989010989	0	0	0	0	0	0	0.0803571428571429	0	0	0	0	0	0	0	0	0.238095238095238	0	0	0	0	0.107142857142857	0	0	0.0410958904109589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aortic Rupture	0	0	0.0697674418604651	0	0	0	0	0	0	0	0	0	0	0	0	0.422222222222222	1	0	0.164835164835165	0	0	0.231884057971014	0	0	0	0.0833333333333333	0	0	0.104477611940299	0	0.0978260869565217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0810810810810811	0	0	0	0	0	0	0.0681818181818182	0	0	0	0	0	0	0	0	0.180722891566265	0	0	0	0	0.0865384615384615	0	0	0.032258064516129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Neoplasms, Basal Cell	0.319148936170213	0.0833333333333333	0	0.391304347826087	0	0.04	0	0	0	0.174193548387097	0.0833333333333333	0	0.0505050505050505	0.036231884057971	0.195767195767196	0	0	1	0	0	0	0	0	0	0.310344827586207	0	0.250737463126844	0.109004739336493	0	0.112359550561798	0	0	0.029585798816568	0	0	0.112781954887218	0.15	0.230769230769231	0.0398009950248756	0.2	0.0384615384615385	0.209580838323353	0	0.128787878787879	0.0324675324675325	0.263157894736842	0.0324909747292419	0	0.251461988304094	0	0	0.0555555555555556	0.319148936170213	0.14792899408284	0	0.251461988304094	0	0.107569721115538	0.0424710424710425	0	0	0	0.344262295081967	0.0476190476190476	0	0	0	0	0	0	0.147540983606557	0.04	0.147540983606557	0.118421052631579	0	0	0	0	0	0.0867052023121387	0	0.171428571428571	0.162162162162162	0.114503816793893	0	0	0	0	0.466666666666667	0	0.205882352941176	0.0565371024734982	0.11214953271028	0.0561797752808989	0	0	0.2	0.113924050632911	0	0	0	0	0	0.2	0.121951219512195	0	0	0.219512195121951	0	0	0	0	0	0	0.284552845528455	0.103448275862069	0	0	0	0.275471698113208	0	0	0.275471698113208	0	0.2	0	0.136363636363636	0.136363636363636
Myocardial Ischemia	0	0	0.223880597014925	0	0	0	0	0	0	0	0	0	0	0	0	0.211267605633803	0.164835164835165	0	1	0	0	0.248520710059172	0	0	0	0.606741573033708	0	0	0.239263803680982	0	0.246575342465753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.195652173913043	0	0	0	0	0	0	0.15929203539823	0	0	0	0	0	0	0	0	0.375	0	0	0	0	0.211764705882353	0	0	0.243243243243243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Diabetes Mellitus	0	0	0	0	0	0	0	0	0	0	0	0	0.130841121495327	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.780821917808219	0	0	0	0	0	0	0.129032258064516	0	0	0.0983606557377049	0	0	0	0	0	0.207920792079208	0	0.14987714987715	0	0	0	0	0	0	0.0481927710843374	0	0.114149821640904	0.0272727272727273	0	0	0	0.130434782608696	0	0	0.670588235294118	0	0	0	0	0	0	0	0	0	0.0909090909090909	0.1	0	0	0	0	0	0	0	0	0	0	0	0.114583333333333	0	0.114285714285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.310344827586207	0	0	0	0.361963190184049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Endometriosis	0	0	0	0	0	0	0	0	0	0	0	0	0	0.253623188405797	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.203980099502488	0	0.115384615384615	0	0	0.0378787878787879	0.227272727272727	0.0350877192982456	0	0	0	0	0.388888888888889	0	0	0	0	0	0	0	0	0	0.0666666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0852272727272727	0.0882352941176471	0.222614840989399	0	0	0.108433734939759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.126760563380282	0	0	0	0	0	0	0	0	0	0	0	0.12	0	0	0	0
